title,version,lyrics,cleaned_lyrics
Jesus Zone,Original,"
[Chorus]
Jesus Zone, Jesus Zone, Jesus Zone (Yeah)
Jesus Zone, Jesus Zone, Jesus Zone (Oh yeah)
Jesus Zone,  Jesus Zone, Jesus Zone
I say trapping in the Jesus Zone and you be feeling fire (Yeah)
Jesus Zone, Jesus Zone, Jesus Zone (Yeah)
Jesus Zone, Jesus Zone, Jesus Zone (Oh yeah)
Jesus Zone,  Jesus Zone, Jesus Zone
I say trapping in the Jesus Zone and you be feeling fire (Yeah)
[Verse]
One, come and rejoice in the Lord (the Lord)
Mehn I hear me a shout(what's that)
It’s the sound of victory
A soul worth more than paper
Mehn He got my back(what's that)
Mehn i got my friend
Mehn I got a brother
I said that I got a Father
I see you chasing for the moola
Wena uyislima ngempela [you are a fool for real]
Thina siy'mthanda uJesu(Yeah) [We love Jesus]
Mfana buka nanguReggie [Boy looks there is Reggie]
Useya ngena khona manje [He is about to enter]
Ungalalalalali [Don’t sleep sleep]
Reggie
Mina ngihamba noJesus (Yebo) kukhala kukhala uSatani (Haibo) [I am going with Jesus, Satan is crying]
Mina ngihamba noJesus (Yebo)  kukhala kukhala uSatani (Haibo) [I am going with Jesus, Satan is crying]
Jesus Zone, Hallelujah to the Lord (Ah Ah)
Jesus Zone, Hallelujah to the Lord (Ah Ah)
I am the zone you gotta know
I am the zone you gotta know
Hallelujah to the Lord (Hallelujah)
The most high God
Hallelujah to the Lord (Hallelujah)
The most high God
Chorus]
Jesus Zone, Jesus Zone, Jesus Zone (Yeah)
Jesus Zone, Jesus Zone, Jesus Zone (Oh yeah)
Jesus Zone,  Jesus Zone, Jesus Zone
I say trapping in the Jesus Zone and you be feeling fire (Yeah)
Jesus Zone, Jesus Zone, Jesus Zone (Yeah)
Jesus Zone, Jesus Zone, Jesus Zone (Oh yeah)
Jesus Zone,  Jesus Zone, Jesus Zone
I say trapping in the Jesus Zone and you be feeling fire (Yeah)

",jesus zone jesus zone jesus zone yeah jesus zone jesus zone jesus zone oh yeah jesus zone jesus zone jesus zone say trapping jesus zone feeling fire yeah jesus zone jesus zone jesus zone yeah jesus zone jesus zone jesus zone oh yeah jesus zone jesus zone jesus zone say trapping jesus zone feeling fire yeah one come rejoice lord lord mehn hear shout sound victory soul worth paper mehn got back mehn got friend mehn got brother said got father see chasing moola wena uyislima ngempela thina ujesu yeah mfana buka nangureggie useya ngena khona manje ungalalalalali reggie mina ngihamba nojesus yebo kukhala kukhala usatani haibo mina ngihamba nojesus yebo kukhala kukhala usatani haibo jesus zone hallelujah lord ah ah jesus zone hallelujah lord ah ah zone got ta know zone got ta know hallelujah lord hallelujah high god hallelujah lord hallelujah high god chorus jesus zone jesus zone jesus zone yeah jesus zone jesus zone jesus zone oh yeah jesus zone jesus zone jesus zone say trapping jesus zone feeling fire yeah jesus zone jesus zone jesus zone yeah jesus zone jesus zone jesus zone oh yeah jesus zone jesus zone jesus zone say trapping jesus zone feeling fire yeah
Light My Fire,Original,"
Light My Fire - by The Doors
__
Was Never covered by Creed...
ONLY Roadhouse Blues (live)
And, Riders On The Storm (live & studio versions)

",light fire door never covered creed roadhouse blue live rider storm live studio version
Lullaby,Original,"
[Verse 1]
Hush my love now, don't you cry
Everything will be all right
Close your eyes and drift in dream
Rest in peaceful sleep
[Pre-Chorus]
If there's one thing I hope I showed you
If there's one thing I hope I showed you
Hope I showed you
[Chorus]
Just give love to all
Just give love to all
Just give love to all
[Verse 2]
Oh my love in my arms tight
Every day you give me life
As I drift off to your world
Rest in peaceful sleep
[Pre-Chorus]
I know there's one thing that you showed me
I know there's one thing that you showed me
That you showed me
[Chorus]
Just give love to all
Just give love to all
Just give love to all
Let's give love to all
Let's give love to all
Just give love to all
Let's give love to all
Just give love to all
Let's give love to all

",hush love cry everything right close eye drift dream rest peaceful sleep one thing hope showed one thing hope showed hope showed give love give love give love oh love arm tight every day give life drift world rest peaceful sleep know one thing showed know one thing showed showed give love give love give love let give love let give love give love let give love give love let give love
Mamasita Role,Original,"
You better go better go

",better go better go
More Than This,Demo,"
[Verse 1]
One more time and I will go (and I will go)
It seems that we always assume it's right
I choose to wait and find
Whenever truth is not enough (is not enough)
We're seeking time to break free from lorn
I guess we're too far gone
[Verse 2]
Seems it's right to finally start (to finally start)
Change all the lines that held us down
We'll try to gain new ground
When living in peace is not enough (is not enough)
Look at the tides that made us strong
I guess we're too far gone
[Instrumental Outro]

",one time go go seems always assume right choose wait find whenever truth enough enough seeking time break free lorn guess far gone seems right finally start finally start change line held u try gain new ground living peace enough enough look tide made u strong guess far gone
Mrs. Judy,Original,"
[Intro: JiggyJack]
Oh, ha ha
Yeah
I'm a little blowed on this one, I'm not gonna lie
Kind fried
Yeah
[Verse 1: JiggyJack]
Jack come from the school
Trappin' is all we do
So I'm getting all this money
Feelin' like some fucking loot
I'm just stackin' on my paper
Yeah I'm smokin' on the vapor
Chop 'em up with my lightsaber
Yeah they call me Darth Vader
Yeah I'm choppin' up bar wars
I play your bitch no score
And I'm a pour some more
Liquor, yeah I got it goin'
Yeah I'm finna go it fast
JiggyJack I got that grass
And I'm rollin' hella blunts
Mix that shit up with that hash
Ice up on my wrist
Watch me flip yo bitch
And I'ma take that weed
Smoke another fuckin' [?]
Just keep it in that hoe
You know I got that dro
And my mind movin' slow
Steady puffin' on that hoe
Woah
On probation
Instead of takin' medication
It's my occupation
Blow up detonation
Brain is never station
Yep my eyes are Asian
You see this chronic I'm blazin'
Buddha, meditation
[Verse 2: Shadyvice]
I hit that nigga with the Uzi (pow pow)
I fuck her right and leave her woozy
Her pussy wetter than Jacuzzi
Lookin' back when she do it
It's H-town, so I screwed it (fuck it up)
Don't come here if you goofy
Your girlfriend kind of loopy
But that bitch just a groupie
I fuck it right when she [?] (hit it)
My coke whiter than Susie
Ooh, look at that booty
Man I call that hoe Ms. Judy (it's fat)
She [?]
Her pussy sweeter than cookies (yum)
My girl good with that head nigga
I don't fuck around with no rookies (hit her with it)
She said, ""What do you want, Shady?""
I said, ""Give me that goodie""
I beat it up 'til it's mushy (pow pow)
I'm a savage nigga, don't push me
Yeah I'm in my zone
And I can't do no wrong (hell nah)
Man girls feel this song
I finesse a bitch in her thong (give it to her)
Man shout out [?]
He stay puffin' that strong
I got a girl named Mary and a girl named Jane and they both get along (they friends)
I'm smokin' that good weed
Man call me Cheech and no Chong
Man Vice Gang be that clique
Makin' big moves like a don, yeah
[Verse 3: C-Reed]
Young nigga outta Katy ([?])
Did I fuck your hoe? Hmm, maybe
Your main hoe my side lady (mmhmm)
I feel Bobby [?], mm tasty (I promise)
Throw it back like Tom Brady
'Cause I'm constantly blazin'
I'm blazin' like I'm in [?]
Shoo shoo, we trainin' (mmhmm)
These hoes I be replacin'
I pass 'em off like I'm Jason
Kid you not, I'm not playin' (nope)
That cat I be cravin' (always)
Before I eat it I'm prayin' (bless)
Put in work like I'm a slave man
I got her naked like a caveman
Babies we are not makin' (crazy)
I get head or I'm [?]
She say my dick is amazin'
My dick is why she stayin'
Click click now she is stayin'([?])
Talkin' bout a future like she Raven (girl stop)
Lil' hoe what are you sayin'? (what?)
Lil' hoe we ain't datin' (what?)
My black hoes be hatin'
They think a nigga is racist (I'm not)
'Cause I got a white hoe and I embrace it ([?])
And MLK is who I'm balmin'
Everybody hate you like you Raymond
I'm throwin' up that money
Now it is rainin' (get a jacket)
Oh he sell weed? Well I'm [?]
Yeah he sell week? Well I'm [?]
[Verse 4: AlmightySino]
She sit all on my piano
I change hoes just like a channel
Flow got patterns like a flannel
They gon' put me on a mantle
We flip hoes just like a sandal
Beat it up just like a vandal
That chick shaped just like Olivia
Pope I ain't never got no scandals [?]
They say she a Jesus freak
She gave me head in some jandals
My team stay out in the valley
And we always hold a rally (gotta come here next year)
And my weed straight come from Cali
And this verse it the finale
I'ma mark this dub like tally (dub dub dub)
Hold up
Hold up

",oh ha ha yeah little blowed one gon na lie kind fried yeah jack come school trappin getting money feelin like fucking loot stackin paper yeah smokin vapor chop lightsaber yeah call darth vader yeah choppin bar war play bitch score pour liquor yeah got goin yeah finna go fast jiggyjack got grass rollin hella blunts mix shit hash ice wrist watch flip yo bitch take weed smoke another fuckin keep hoe know got dro mind movin slow steady puffin hoe woah probation instead takin medication occupation blow detonation brain never station yep eye asian see chronic blazin buddha meditation hit nigga uzi pow pow fuck right leave woozy pussy wetter jacuzzi lookin back screwed fuck come goofy girlfriend kind loopy bitch groupie fuck right hit coke whiter susie ooh look booty man call hoe judy fat pussy sweeter cooky yum girl good head nigga fuck around rookie hit said want shady said give goodie beat mushy pow pow savage nigga push yeah zone ca wrong hell nah man girl feel song finesse bitch thong give man shout stay puffin strong got girl named mary girl named jane get along friend smokin good weed man call cheech chong man vice gang clique makin big move like yeah young nigga outta katy fuck hoe hmm maybe main hoe side lady mmhmm feel bobby mm tasty promise throw back like tom brady constantly blazin blazin like shoo shoo trainin mmhmm hoe replacin pas like jason kid playin nope cat cravin always eat prayin bless put work like slave man got naked like caveman baby makin crazy get head say dick amazin dick stayin click click stayin talkin bout future like raven girl stop lil hoe sayin lil hoe ai datin black hoe hatin think nigga racist got white hoe embrace mlk balmin everybody hate like raymond throwin money rainin get jacket oh sell weed well yeah sell week well sit piano change hoe like channel flow got pattern like flannel gon put mantle flip hoe like sandal beat like vandal chick shaped like olivia pope ai never got scandal say jesus freak gave head jandals team stay valley always hold rally got ta come next year weed straight come cali verse finale mark dub like tally dub dub dub hold hold
My Own Prison,Original,"
[Verse 1: Scott Stapp]
Court is in session
A verdict is in
No appeal on the docket today
Just my own sin
The walls, cold and pale
The cage, made of steel
Screams fill the room
Alone, I drop and kneel
Silence, now the sound
My breath, the only motion around
Demons cluttering around
My face, showing no emotion
Shackled by my sentence
Expecting no return
Here, there is no penance
My skin begins to burn
[Chorus: Scott Stapp,
Mark Tremonti
]
(And I said, ""Ohhhhhhh"")
So I held my head up high
Hiding hate that burns inside
Which only fuels their selfish pride
(And I said, ""Ohhhhhhh"")
All held captive out from the sun
A sun that shines on only some
We, the meek, are all in one
[Verse 2: Scott Stapp]
I hear a thunder in the distance
See a vision of a cross
I feel the pain that was given
On that sad day of loss
A lion roars in the darkness
Only he holds the key
A light to free me from my burden
And grant me life eternally
[Pre-Chorus: Scott Stapp]
Should have been dead
On a Sunday morning
Banging my head
No time for mourning
Ain't got no time
Should have been dead
On a Sunday morning
Banging my head
No time for mourning
Ain't got no time
[Chorus: Scott Stapp,
Mark Tremonti
]
(And I said, ""Ohhhhhhh"")
So I held my head up high
Hiding hate that burns inside
Which only fuels their selfish pride
(And I said, ""Ohhhhhhh"")
All held captive out from the sun
A sun that shines on only some
We, the meek, are all in one
[Bridge: Scott Stapp]
I cry out to God
Seeking only His decision
Gabriel
stands and confirms
I've created my own prison
I cry out to God
Seeking only His decision
Gabriel stands and confirms
I've created my own prison
[Chorus: Scott Stapp,
Mark Tremonti
]
(And I said, ""Ohhhhhhh"")
So I held my head up high
Hiding hate that burns inside
Which only fuels their selfish pride
(And I said, ""Ohhhhhhh"")
All held captive out from the sun
A sun that shines on only some
We, the meek, are all in one
(And I said, ""Ohhhhhhh"")
So I held my head up high
Hiding hate that burns inside
Which only fuels their selfish pride
(And I said, ""Ohhhhhhh"") (I created, I created, I created)
All held captive out from the sun
A sun that shines on only some
(I created, I created)
We, the meek, are all in one
(I created my own prison)
[Outro: Scott Stapp]
Should have been dead
On a Sunday morning
Banging my head
No time for mourning
Ain't got no time

",court session verdict appeal docket today sin wall cold pale cage made steel scream fill room alone drop kneel silence sound breath motion around demon cluttering around face showing emotion shackled sentence expecting return penance skin begin burn chorus scott stapp mark tremonti said ohhhhhhh held head high hiding hate burn inside fuel selfish pride said ohhhhhhh held captive sun sun shine meek one hear thunder distance see vision cross feel pain given sad day loss lion roar darkness hold key light free burden grant life eternally dead sunday morning banging head time mourning ai got time dead sunday morning banging head time mourning ai got time chorus scott stapp mark tremonti said ohhhhhhh held head high hiding hate burn inside fuel selfish pride said ohhhhhhh held captive sun sun shine meek one cry god seeking decision gabriel stand confirms created prison cry god seeking decision gabriel stand confirms created prison chorus scott stapp mark tremonti said ohhhhhhh held head high hiding hate burn inside fuel selfish pride said ohhhhhhh held captive sun sun shine meek one said ohhhhhhh held head high hiding hate burn inside fuel selfish pride said ohhhhhhh created created created held captive sun sun shine created created meek one created prison dead sunday morning banging head time mourning ai got time
My Sacrifice,Original,"
[Verse 1]
Hello my friend, we meet again
It's been a while, where should we begin?
Feels like forever
Within my heart are memories
Of perfect love that you gave to me
Oh, I remember
[Chorus]
When you are with me, I'm free
I'm careless,
I believe
Above all the others, we'll fly
This brings tears to my eyes
My sacrifice
[Verse 2]
We've seen our share of ups and downs
Oh, how quickly life can turn around
In an instant
It feels so good to reunite
Within yourself and within your mind
Let's find peace there
[Chorus]
'Cause when you are with me, I'm free
I'm careless, I believe
Above all the others, we'll fly
This brings tears to my eyes
My sacrifice
[Bridge]
I just want to say hello again
I just want to say hello again
[Chorus]
'Cause when you are with me, I'm free
I'm careless, I believe
Above all the others, we'll fly
This brings tears to my eyes
'Cause when you are with me, I'm free
I'm careless, I believe
Above all the others, we'll fly
This brings tears to my eyes
My sacrifice
My sacrifice
[Outro]
I just want to say hello again
I just want to say hello again
My sacrifice

",hello friend meet begin feel like forever within heart memory perfect love gave oh remember free careless believe others fly brings tear eye sacrifice seen share ups down oh quickly life turn around instant feel good reunite within within mind let find peace free careless believe others fly brings tear eye sacrifice want say hello want say hello free careless believe others fly brings tear eye free careless believe others fly brings tear eye sacrifice sacrifice want say hello want say hello sacrifice
Never Die,Original,"
[Verse 1]
Hands on a window pane
Watching some children laugh and play
They're running in circles
With candy canes and French braids
Inspired to question
What makes us grown-ups anyway?
Let's search for the moment
When youth betrayed itself to age
[Chorus]
So let the children play
Inside your heart always
And death you will defy
'Cause your youth will never die
Never die
[Verse 2]
In searching for substance
We're clouded by struggle's haze
Remember the meaning
Of playing out in the rain
We swim in the fountain
Of youth's timeless maze
If you drink the water
Your youth will never fade
[Chorus]
So let the children play
Inside your heart always
And death you will defy
'Cause your youth will never die
Never die
Never die
Never die
[Bridge]
I won't let go of that youthful soul
Despite body and mind, my youth will never die
I won't let go of that youthful soul
Despite body and mind, my youth will never die
[Chorus]
So let the children play
Inside your heart always
And death you will defy
'Cause your youth will never die
So let the children play
Inside your heart always
And death you will defy
'Cause your youth will never die
Never die

",hand window pane watching child laugh play running circle candy cane french braid inspired question make u anyway let search moment youth betrayed age let child play inside heart always death defy youth never die never die searching substance clouded struggle haze remember meaning playing rain swim fountain youth timeless maze drink water youth never fade let child play inside heart always death defy youth never die never die never die never die wo let go youthful soul despite body mind youth never die wo let go youthful soul despite body mind youth never die let child play inside heart always death defy youth never die let child play inside heart always death defy youth never die never die
Ode,Original,"
[Verse 1]
Hang me, watch awhile
Let me see you smile as I die
Take me, as my body burns
Let me see you yearn, while I cry
[Chorus]
One step on your own
And you walk all over me
One head in the clouds
You won't let go, you're too proud
One light to the blind, and they see
(And you walk all over me)
One touch on the head, we believe
[Verse 2]
Adore me as I drift away
Let me hear you say I'm fine
You cry as my body dies
All that you despised is gone away
[Chorus]
One step on your own
And you walk all over me
One head in the clouds
You won't let go, you're too proud
One light to the blind, and they see
(And you walk all over me)
One touch on the head, we believe
We believe
[Bridge]
(I have a couple questions for you)
(Yeah, go ahead)
(Where are we going?)
(26.7 degrees, is that about right?)
Yeah!
[Chorus]
One step on your own
And you walk all over me
One head in the clouds
You won't let go, you're too proud
One light to the blind, and they see
(And you walk all over me)
One touch on the head, we believe, yeah
[Outro]
We believe, yeah

",hang watch awhile let see smile die take body burn let see yearn cry one step walk one head cloud wo let go proud one light blind see walk one touch head believe adore drift away let hear say fine cry body dy despised gone away one step walk one head cloud wo let go proud one light blind see walk one touch head believe believe couple question yeah go ahead going degree right yeah one step walk one head cloud wo let go proud one light blind see walk one touch head believe yeah believe yeah
On My Sleeve,Original,"
[Verse 1]
The eyes around me are so cold
With every chance they steal my soul
So walk with me, talk with me
Hold my hand I'm stumbling
In consequence here is me alive
[Pre-Chorus]
Can you fix what's made to be broken
I can't fix what's made to be
[Chorus]
My heart is tattooed on my sleeve
I'm not hiding, no
It only hurts to breathe
My heart is tattooed on my sleeve
I know it's blinding, no
It only hurts to breathe
[Verse 2]
Standing now I'm alone
I need answers, tell me everything you know
So heavy is the night
Exhausted
Whispers tend to crucify my mind
I'm fighting but I'm blind
[Pre-Chorus]
Can you fix what's made to be broken
I can't fix what's made to be
[Chorus]
My heart is tattooed on my sleeve
I'm not hiding, no
It only hurts to breathe
My heart is tattooed on my sleeve
I know it's blinding, no
It only hurts, it only hurts
It only hurts to breathe
[Bridge]
I shout out
Can you hear me?
Mistakes have cost me years
Do they cost you?
Are you like me?
Tell me, please
[Chorus]
My heart is tattooed on my sleeve
I'm not hiding, no
It only hurts to breathe
My heart is tattooed on my sleeve
I know it's blinding, no
It only hurts, it only hurts
It only hurts to breathe

",eye around cold every chance steal soul walk talk hold hand stumbling consequence alive fix made broken ca fix made heart tattooed sleeve hiding hurt breathe heart tattooed sleeve know blinding hurt breathe standing alone need answer tell everything know heavy night exhausted whisper tend crucify mind fighting blind fix made broken ca fix made heart tattooed sleeve hiding hurt breathe heart tattooed sleeve know blinding hurt hurt hurt breathe shout hear mistake cost year cost like tell please heart tattooed sleeve hiding hurt breathe heart tattooed sleeve know blinding hurt hurt hurt breathe
One,Original,"
[Verse 1]
Affirmative may be justified
Take from one, give to another
The goal is to be unified
Take my hand, be my brother
The payment silenced the masses
Sanctified by oppression
Unity took a back seat
Sliding further into regression
[Pre-Chorus]
One, oh, one, the only way is one
One, oh, one, the only way is one
[Chorus]
I feel angry, I feel helpless
Want to change the world, yeah
I feel violent, I feel alone
Don't try and change my mind, no
[Verse 2]
Society, blind by color
Why hold down one to raise another?
Discrimination, now on both sides
Seeds of hate blossom further
The world is headed for mutiny
When all we want is unity
We may rise and fall
But in the end, we'll meet our fate together
[Pre-Chorus]
One, oh, one, the only way is one
One, oh, one, the only way is one
[Chorus]
I feel angry, I feel helpless
Want to change the world, yeah
I feel violent, I feel alone
Don't try and change my mind, no
I feel angry, I feel helpless
Want to change the world, yeah
I feel violent, I feel alone
Don't try and change my mind, no
[Instrumental Break]
[Chorus]
I feel angry, I feel helpless
Want to change the world, yeah
I feel violent, I feel alone
Don't try and change my mind, no
I feel angry, I feel helpless
Want to change the world, yeah
I feel violent, I feel alone
Don't try and change my mind, no
[Guitar Solo]

",affirmative may justified take one give another goal unified take hand brother payment silenced mass sanctified oppression unity took back seat sliding regression one oh one way one one oh one way one feel angry feel helpless want change world yeah feel violent feel alone try change mind society blind color hold one raise another discrimination side seed hate blossom world headed mutiny want unity may rise fall end meet fate together one oh one way one one oh one way one feel angry feel helpless want change world yeah feel violent feel alone try change mind feel angry feel helpless want change world yeah feel violent feel alone try change mind feel angry feel helpless want change world yeah feel violent feel alone try change mind feel angry feel helpless want change world yeah feel violent feel alone try change mind
One  2009 Blue ray/DVD,live version,"
The only way is one, Houston
You know it
C'mon clap your hands
Affirmative may be justified
Take from one give to another
The goal is to be unified
Take my hand be my brother
The payment silenced the masses
Sanctified by oppression
Unity took a backseat
Sliding further into regression
One, oh one
The only way is one
One, oh one
The only way is one
I feel angry I feel helpless
Want to change the world
I feel violent I feel alone
Don't try and change my mind
Sociеty blind by color
Why hold down one to raise another
Discrimination now on both sidеs
Seeds of hate blossom further
The world is heading for mutiny
When all we want is unity
We may rise and fall, but in the end
We meet our fate together
One, oh one
The only way is one
One, oh one
The only way is one
I feel angry I feel helpless
Want to change the world
I feel violent I feel alone
Don't try and change my mind
[x3]
I feel angry I feel helpless
Want to change the world yeah
I feel violent I feel alone
Don't try and change my mind
I feel angry I feel helpless
Want to change the world yeah
I feel violent I feel alone
Don't try and change my mind

",way one houston know clap hand affirmative may justified take one give another goal unified take hand brother payment silenced mass sanctified oppression unity took backseat sliding regression one oh one way one one oh one way one feel angry feel helpless want change world feel violent feel alone try change mind sociеty blind color hold one raise another discrimination sidеs seed hate blossom world heading mutiny want unity may rise fall end meet fate together one oh one way one one oh one way one feel angry feel helpless want change world feel violent feel alone try change mind feel angry feel helpless want change world yeah feel violent feel alone try change mind feel angry feel helpless want change world yeah feel violent feel alone try change mind
One Last Breath,Original,"
[Verse 1]
Please come now, I think I'm falling
I'm holding on to all I think is safe
It seems I found the road to nowhere
And I'm trying to escape
I yelled back when I heard thunder
But I'm down to one last breath
And with it, let me say
Let me say
[Chorus]
Hold me now
I'm six feet from the edge and I'm thinking
""Maybe six feet ain't so far down""
[Verse 2]
I'm looking down, now that it's over
Reflecting on all of my mistakes
I thought I found the road to somewhere
Somewhere in His grace
I cried out ""Heaven save me""
But I'm down to one last breath
And with it, let me say
Let me say
[Chorus]
Hold me now
I'm six feet from the edge and I'm thinking
""Maybe six feet ain't so far down""
Hold me now
I'm six feet from the edge and I'm thinking
""Maybe six feet ain't so far down""
I'm so far down
[Bridge]
Sad eyes follow me
But I still believe there's something left for me
So please, come stay with me
'Cause I still believe there's something left for you and me
For you and me, for you and me
[Refrain]
Hold me now
I'm six feet from the edge and I'm thinking
[Chorus]
Hold me now
I'm six feet from the edge and I'm thinking
""Maybe six feet ain't so far down""
Hold me now
I'm six feet from the edge and I'm thinking
""Maybe six feet ain't so far down""
I'm so far down
[Outro]
Please come now, I think I'm falling
I'm holding on to all I think is safe

",please come think falling holding think safe seems found road nowhere trying escape yelled back heard thunder one last breath let say let say hold six foot edge thinking maybe six foot ai far looking reflecting mistake thought found road somewhere somewhere grace cried heaven save one last breath let say let say hold six foot edge thinking maybe six foot ai far hold six foot edge thinking maybe six foot ai far far sad eye follow still believe something left please come stay still believe something left hold six foot edge thinking hold six foot edge thinking maybe six foot ai far hold six foot edge thinking maybe six foot ai far far please come think falling holding think safe
Overcome,Original,"
[Verse 1]
Don't cry victim to me
Everything we are and used to be is buried and gone
Now it's my turn to speak
It's my turn to expose and release what's been killing me
[Pre-Chorus]
I'll be damned fighting you
It's impossible, impossible
Say goodbye with no sympathy
[Chorus]
I'm entitled to overcome
Completely stunned, I'm numb
Knock me down, throw me to the floor
There's no pain, I can't feel no more
I'm entitled to overcome
Overcome
[Verse 2]
Finally see what's beneath
Everything I am and hope to be cannot be lost
[Pre-Chorus]
I'll be damned fighting you
You're impossible, impossible
Say goodbye with no sympathy
[Chorus]
I'm entitled to overcome
Completely stunned, I'm numb
Knock me down, throw me to the floor
There's no pain, I can't feel no more
I'm entitled to overcome
Overcome
[Bridge]
(Overcome)
You'll never know what I was thinking before you came 'round
Take a step, take a breath, put your guard down
(Overcome)
I cannot worry anymore of what you think of me
I may be crazy, but I'm buried in your memory
[Guitar Solo]
[Chorus]
I'm entitled to overcome
Completely stunned, I'm numb
Knock me down, throw me to the floor
There's no pain, I can't feel no more
(Look in my eyes)
I'm entitled to overcome
(I'll fight 'til I die)
Completely stunned, I'm numb
(Look in my eyes)
I'm entitled to overcome
(I'll fight 'til I die)
Completely stunned, I'm numb
I'm entitled to overcome
[Outro]
I may be crazy, but I'm buried in your memory

",cry victim everything used buried gone turn speak turn expose release killing damned fighting impossible impossible say goodbye sympathy entitled overcome completely stunned numb knock throw floor pain ca feel entitled overcome overcome finally see beneath everything hope lost damned fighting impossible impossible say goodbye sympathy entitled overcome completely stunned numb knock throw floor pain ca feel entitled overcome overcome overcome never know thinking came take step take breath put guard overcome worry anymore think may crazy buried memory entitled overcome completely stunned numb knock throw floor pain ca feel look eye entitled overcome fight die completely stunned numb look eye entitled overcome fight die completely stunned numb entitled overcome may crazy buried memory
PantsFeet,Original,"
[Verse 1]
I like your pants around your feet
I like your pants around your feet (DJ Cummerbund)
I like your pants around your feet
I like your pants around your feet (I like your pants around your feet)
I like your feet around your pants
I like your feet around your pants
I like your pants around your pants
I like your feet around your feet (I like your pants)
[Pre-Chorus]
Pants (Pants)
Feet (Feet)
[Chorus]
I love pants
And I love feet
Feet, Pants
Pants, Feet
I love pants
And I love feet
Feet, Pants
PantsFeet
[Trumpet Solo]
[Verse 2]
I like your pants around your feet (I like your pants around your feet)
I like your pants around your feet (I like your pants around your feet)
I like your pants around your feet (I like your pants around your pants)
I like your feet around your pants (I like your pants around your feet)
I like your pants around your pants (I like your pants around your feet)
I like your feet around your feet (I like your feet)
[Pre-Chorus]
Pants (Pants)
Feet (Feet)
[Chorus]
I love pants
And I love feet
Feet, Pants
Pants, Feet
I love pants
And I love feet
Feet, Pants
PantsFeet
[Bridge]
Come on, let's go there
Let’s ask, ""Can we stay?""
Can you take me higher (I like your pants around your feet)
To a place with blind man feet
Can you take me higher (I like your pants around your pants)
To a place with golden feet
[Interlude (Macho Man Randy Savage)]
I worked hard and I played hard and I just want to tell all the kids out there, all the Macho Maniacs, to stay in school and say no to drugs, yeah
[Chorus]
I love pants (I love pants)
And I love feet (And I love feet)
Feet, Pants
Pants, Feet
I love pants (I love pants)
And I love feet (And I love feet)
Feet, Pants
PantsFeet
[Outro]
I like your pants around your feet
I like your pants around your feet (Feet, feet, feet)

",like pant around foot like pant around foot dj cummerbund like pant around foot like pant around foot like pant around foot like foot around pant like foot around pant like pant around pant like foot around foot like pant pant pant foot foot love pant love foot foot pant pant foot love pant love foot foot pant pantsfeet like pant around foot like pant around foot like pant around foot like pant around foot like pant around foot like pant around pant like foot around pant like pant around foot like pant around pant like pant around foot like foot around foot like foot pant pant foot foot love pant love foot foot pant pant foot love pant love foot foot pant pantsfeet come let go let ask stay take higher like pant around foot place blind man foot take higher like pant around pant place golden foot worked hard played hard want tell kid macho maniac stay school say drug yeah love pant love pant love foot love foot foot pant pant foot love pant love pant love foot love foot foot pant pantsfeet like pant around foot like pant around foot foot foot foot
Pity for a Dime,Original,"
[Verse 1]
An artificial season
Covered by summer rain
Losing all my reason
'Cause there's nothing left to blame
[Verse 2]
Shadows paint the sidewalk
A living picture in a frame
See the sea of people
All their faces look the same
[Chorus]
So, I sat down for a while
Forcing a smile
In a state of self-denial
Is it worthwhile?
Sell my pity for a dime
Yeah, just one dime
Sell my pity for a dime
Yeah, just one dime
[Bridge]
Plain talk can be the easy way
Signs of losing my faith
Losing my faith
Plain talk can be the easy way
Signs of losing my faith
Losing my faith
[Chorus]
So, I sat down for a while
Yeah, forcing a smile
In a state of self-denial
Yeah, is it worthwhile?
Sell my pity for a dime
Yeah, just one dime
Sell my pity for a dime
Yeah, just one dime
[Post-Chorus]
Selling, selling my pity for a dime
And another man take my soul
[Guitar Solo]
[Chorus]
So, I sat down for a while
Yeah, forcing a smile
In a state of self-denial
Yeah, is it worthwhile?
Sell my pity for a dime
Yeah, just one dime
Sell my pity for a dime
Yeah, just one dime
[Post-Chorus]
Selling, selling my pity for a dime
And another man take my soul

",artificial season covered summer rain losing reason nothing left blame shadow paint sidewalk living picture frame see sea people face look sat forcing smile state worthwhile sell pity dime yeah one dime sell pity dime yeah one dime plain talk easy way sign losing faith losing faith plain talk easy way sign losing faith losing faith sat yeah forcing smile state yeah worthwhile sell pity dime yeah one dime sell pity dime yeah one dime selling selling pity dime another man take soul sat yeah forcing smile state yeah worthwhile sell pity dime yeah one dime sell pity dime yeah one dime selling selling pity dime another man take soul
